word,book1_count,book2_count,book1_per_10k,book2_per_10k,g2_score,distinctive_to
goodness,0,6,0.0,3.5024225089019905,4.326661144682397,Book 2
hearts,0,6,0.0,3.5024225089019905,4.326661144682397,Book 2
golden,0,6,0.0,3.5024225089019905,4.326661144682397,Book 2
strives,0,6,0.0,3.5024225089019905,4.326661144682397,Book 2
realize,4,25,5.378512841199408,14.59342712042496,4.318560694002522,Book 2
work,2,17,2.689256420599704,9.923530441888975,4.251943420762618,Book 2
effort,10,9,13.44628210299852,5.253633763352986,4.102599588978885,Book 1
other,10,9,13.44628210299852,5.253633763352986,4.102599588978885,Book 1
that,79,235,106.2256286136883,137.17821493199463,4.026456164497482,Book 2
given,1,12,1.344628210299852,7.004845017803981,3.992353073111566,Book 2
personal,1,12,1.344628210299852,7.004845017803981,3.992353073111566,Book 2
highest,1,12,1.344628210299852,7.004845017803981,3.992353073111566,Book 2
darkness,1,12,1.344628210299852,7.004845017803981,3.992353073111566,Book 2
nature,3,20,4.033884630899556,11.67474169633997,3.7802980055395565,Book 2
sweet,6,4,8.067769261799112,2.3349483392679935,3.7639343199447683,Book 1
within,5,27,6.72314105149926,15.760901290058959,3.6822196746366416,Book 2
anguish,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
whom,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
sense,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
likeness,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
outward,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
undying,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
lust,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
narrow,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
interests,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
acquirement,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
image,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
early,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
lusts,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
brother,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
commence,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
everything,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
awakened,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
kingdom,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
superior,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
blind,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
thee,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
latter,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
prejudices,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
denial,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
krishna,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
sorrows,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
spotless,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
intellect,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
perceived,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
victory,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
gained,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
follow,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
source,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
religions,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
lose,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
midst,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
problems,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
leave,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
regard,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
former,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
charity,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
temporal,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
pleasures,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
nearer,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
course,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
morning,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
engage,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
centered,0,5,0.0,2.9186854240849924,3.6055509539019974,Book 2
weak,5,3,6.72314105149926,1.7512112544509952,3.5280911759870675,Book 1
material,5,3,6.72314105149926,1.7512112544509952,3.5280911759870675,Book 1
results,5,3,6.72314105149926,1.7512112544509952,3.5280911759870675,Book 1
above,1,11,1.344628210299852,6.421107932986983,3.438102988071254,Book 2
compassion,1,11,1.344628210299852,6.421107932986983,3.438102988071254,Book 2
hour,1,11,1.344628210299852,6.421107932986983,3.438102988071254,Book 2
pass,1,11,1.344628210299852,6.421107932986983,3.438102988071254,Book 2
does,18,23,24.203307785397335,13.425952950790965,3.3779228262236547,Book 1
wrong,4,2,5.378512841199408,1.1674741696339968,3.363868293361911,Book 1
almost,4,2,5.378512841199408,1.1674741696339968,3.363868293361911,Book 1
rich,4,2,5.378512841199408,1.1674741696339968,3.363868293361911,Book 1
inner,4,2,5.378512841199408,1.1674741696339968,3.363868293361911,Book 1
neither,4,2,5.378512841199408,1.1674741696339968,3.363868293361911,Book 1
thinks,4,2,5.378512841199408,1.1674741696339968,3.363868293361911,Book 1
virtuous,4,2,5.378512841199408,1.1674741696339968,3.363868293361911,Book 1
external,4,2,5.378512841199408,1.1674741696339968,3.363868293361911,Book 1
forth,4,2,5.378512841199408,1.1674741696339968,3.363868293361911,Book 1
state,2,15,2.689256420599704,8.756056272254977,3.281402884770165,Book 2
principles,2,15,2.689256420599704,8.756056272254977,3.281402884770165,Book 2
pure,13,15,17.480166733898077,8.756056272254977,3.212797895812143,Book 1
happiness,7,6,9.412397472098965,3.5024225089019905,3.111514948036505,Book 1
perfect,4,22,5.378512841199408,12.842215865973966,3.099444988115618,Book 2
supreme,3,18,4.033884630899556,10.507267526705972,2.924961514438162,Book 2
birth,1,10,1.344628210299852,5.837370848169985,2.899062248955473,Book 2
loves,1,10,1.344628210299852,5.837370848169985,2.899062248955473,Book 2
fall,6,5,8.067769261799112,2.9186854240849924,2.7870746044238057,Book 1
would,10,11,13.44628210299852,6.421107932986983,2.7672124039928576,Book 1
life,30,47,40.338846308995564,27.43564298639893,2.6304959467277857,Book 1
away,5,24,6.72314105149926,14.009690035607962,2.594221834730069,Book 2
with,39,120,52.440500201694235,70.04845017803981,2.585738083971716,Book 2
mere,5,4,6.72314105149926,2.3349483392679935,2.468904798543359,Book 1
should,9,10,12.101653892698668,5.837370848169985,2.433755296924568,Book 1
gentle,1,9,1.344628210299852,5.253633763352986,2.3782867320293484,Book 2
possessed,1,9,1.344628210299852,5.253633763352986,2.3782867320293484,Book 2
buddha,1,9,1.344628210299852,5.253633763352986,2.3782867320293484,Book 2
abiding,1,9,1.344628210299852,5.253633763352986,2.3782867320293484,Book 2
alone,2,13,2.689256420599704,7.588582102620979,2.374107428988064,Book 2
serene,4,3,5.378512841199408,1.7512112544509952,2.162435037873461,Book 1
influence,4,3,5.378512841199408,1.7512112544509952,2.162435037873461,Book 1
lofty,4,3,5.378512841199408,1.7512112544509952,2.162435037873461,Book 1
gold,4,3,5.378512841199408,1.7512112544509952,2.162435037873461,Book 1
poor,4,3,5.378512841199408,1.7512112544509952,2.162435037873461,Book 1
toward,3,16,4.033884630899556,9.339793357071974,2.133458136347461,Book 2
there,15,52,20.169423154497782,30.354328410483916,2.089088930246815,Book 2
experience,6,6,8.067769261799112,3.5024225089019905,2.0308557082520062,Book 1
place,2,12,2.689256420599704,7.004845017803981,1.9499743429587753,Book 2
true,9,11,12.101653892698668,6.421107932986983,1.9162498955533014,Book 1
natural,3,2,4.033884630899556,1.1674741696339968,1.8819671599723842,Book 1
certain,3,2,4.033884630899556,1.1674741696339968,1.8819671599723842,Book 1
help,3,2,4.033884630899556,1.1674741696339968,1.8819671599723842,Book 1
intelligence,3,2,4.033884630899556,1.1674741696339968,1.8819671599723842,Book 1
greater,3,2,4.033884630899556,1.1674741696339968,1.8819671599723842,Book 1
passes,3,2,4.033884630899556,1.1674741696339968,1.8819671599723842,Book 1
slaves,3,2,4.033884630899556,1.1674741696339968,1.8819671599723842,Book 1
sacrifices,3,2,4.033884630899556,1.1674741696339968,1.8819671599723842,Book 1
garment,3,2,4.033884630899556,1.1674741696339968,1.8819671599723842,Book 1
possessions,3,2,4.033884630899556,1.1674741696339968,1.8819671599723842,Book 1
kind,3,2,4.033884630899556,1.1674741696339968,1.8819671599723842,Book 1
accomplished,3,2,4.033884630899556,1.1674741696339968,1.8819671599723842,Book 1
wander,3,2,4.033884630899556,1.1674741696339968,1.8819671599723842,Book 1
ground,3,2,4.033884630899556,1.1674741696339968,1.8819671599723842,Book 1
effects,3,2,4.033884630899556,1.1674741696339968,1.8819671599723842,Book 1
conquered,3,2,4.033884630899556,1.1674741696339968,1.8819671599723842,Book 1
ceaseless,1,8,1.344628210299852,4.669896678535987,1.8798582839033378,Book 2
entered,1,8,1.344628210299852,4.669896678535987,1.8798582839033378,Book 2
strive,1,8,1.344628210299852,4.669896678535987,1.8798582839033378,Book 2
bliss,1,8,1.344628210299852,4.669896678535987,1.8798582839033378,Book 2
them,13,45,17.480166733898077,26.268168816764927,1.796285011913378,Book 2
reach,3,15,4.033884630899556,8.756056272254977,1.7663127910231742,Book 2
ceases,5,5,6.72314105149926,2.9186854240849924,1.6923797568766727,Book 1
whether,5,5,6.72314105149926,2.9186854240849924,1.6923797568766727,Book 1
before,5,5,6.72314105149926,2.9186854240849924,1.6923797568766727,Book 1
even,11,15,14.790910313298372,8.756056272254977,1.6803342304012592,Book 1
until,5,21,6.72314105149926,12.258478781156967,1.6363879521696791,Book 2
great,7,27,9.412397472098965,15.760901290058959,1.6250737080229856,Book 2
then,7,27,9.412397472098965,15.760901290058959,1.6250737080229856,Book 2
because,6,24,8.067769261799112,14.009690035607962,1.6222260634466172,Book 2
desires,8,10,10.757025682398815,5.837370848169985,1.6001210129780858,Book 1
become,13,44,17.480166733898077,25.68443173194793,1.5877832168571224,Book 2
well,6,7,8.067769261799112,4.086159593718989,1.442670655982186,Book 1
patience,3,14,4.033884630899556,8.172319187437978,1.4214313827542968,Book 2
cease,3,14,4.033884630899556,8.172319187437978,1.4214313827542968,Book 2
live,3,14,4.033884630899556,8.172319187437978,1.4214313827542968,Book 2
practice,3,14,4.033884630899556,8.172319187437978,1.4214313827542968,Book 2
this,31,91,41.683474519295416,53.12007471834686,1.4121182781237493,Book 2
once,1,7,1.344628210299852,4.086159593718989,1.4094032381945236,Book 2
absolutely,1,7,1.344628210299852,4.086159593718989,1.4094032381945236,Book 2
each,1,7,1.344628210299852,4.086159593718989,1.4094032381945236,Book 2
walk,1,7,1.344628210299852,4.086159593718989,1.4094032381945236,Book 2
stainless,1,7,1.344628210299852,4.086159593718989,1.4094032381945236,Book 2
were,1,7,1.344628210299852,4.086159593718989,1.4094032381945236,Book 2
foolish,1,7,1.344628210299852,4.086159593718989,1.4094032381945236,Book 2
giving,1,7,1.344628210299852,4.086159593718989,1.4094032381945236,Book 2
evil,4,17,5.378512841199408,9.923530441888975,1.3683573770923632,Book 2
thus,4,17,5.378512841199408,9.923530441888975,1.3683573770923632,Book 2
still,4,4,5.378512841199408,2.3349483392679935,1.353903805501338,Book 1
seeds,4,4,5.378512841199408,2.3349483392679935,1.353903805501338,Book 1
measure,7,9,9.412397472098965,5.253633763352986,1.2896184640199468,Book 1
cannot,15,24,20.169423154497782,14.009690035607962,1.186243312905602,Book 1
higher,2,10,2.689256420599704,5.837370848169985,1.177541860682116,Book 2
about,2,10,2.689256420599704,5.837370848169985,1.177541860682116,Book 2
pain,2,10,2.689256420599704,5.837370848169985,1.177541860682116,Book 2
longer,2,10,2.689256420599704,5.837370848169985,1.177541860682116,Book 2
find,9,13,12.101653892698668,7.588582102620979,1.1168805639436465,Book 1
having,3,13,4.033884630899556,7.588582102620979,1.1018138429849547,Book 2
power,14,44,18.82479494419793,25.68443173194793,1.0791149446731856,Book 2
forces,3,3,4.033884630899556,1.7512112544509952,1.0154278541260031,Book 1
search,3,3,4.033884630899556,1.7512112544509952,1.0154278541260031,Book 1
destiny,3,3,4.033884630899556,1.7512112544509952,1.0154278541260031,Book 1
ready,3,3,4.033884630899556,1.7512112544509952,1.0154278541260031,Book 1
towards,3,3,4.033884630899556,1.7512112544509952,1.0154278541260031,Book 1
fate,3,3,4.033884630899556,1.7512112544509952,1.0154278541260031,Book 1
those,12,19,16.135538523598225,11.091004611522969,0.9997815440018627,Book 1
been,6,8,8.067769261799112,4.669896678535987,0.9871814916382888,Book 1
than,6,8,8.067769261799112,4.669896678535987,0.9871814916382888,Book 1
gain,1,6,1.344628210299852,3.5024225089019905,0.9749871714793876,Book 2
sees,1,6,1.344628210299852,3.5024225089019905,0.9749871714793876,Book 2
storms,1,6,1.344628210299852,3.5024225089019905,0.9749871714793876,Book 2
willing,1,6,1.344628210299852,3.5024225089019905,0.9749871714793876,Book 2
